Name	Target	ID
A-443644	AKT1, AKT2, AKT3, CDC42BPB, GSK3B, PHKG1, PKIA, PRKACA	BRD-K38615104
PIK-75	PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC	BRD-M16762496
JNK-9L	MAPK8	BRD-K19220233
AT-7519	CDK2, CDK5, CDK1, CDK4, CDK6, CDK9	BRD-K13390322
bisindolylmaleimide-ix	SIRT1, AKT1, GSK3B, LCK, LRRK2, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, ROCK1, RPS6KB1, SIRT2	BRD-K06543683
dactinomycin	POLR2A	BRD-A73909368
5-iodotubercidin	MAPK3, ADK, CSNK1G2, GSG2, LRRK2	BRD-A18497530
PF-562271	PTK2, PTK2B	BRD-K99545815
alvocidib	CDK2, CDK4, CDK1, CDK6, CDK7, CDK9, CDK5, CDK8, EGFR, PYGM, BCL2, BIRC5, CCNT1, MCL1, XIAP	BRD-K87909389
pirarubicin	TOP2A	BRD-K83794624
CGP-60474	CDK1, CDK2	BRD-K79090631
AS-601245	GSK3B, MAPK10, MAPK8, MAPK9, PIM1	BRD-A60245366
ZG-10	MAPK8	BRD-U51951544
chromomycin-a3		BRD-A11702965
daunorubicin	TOP2A, TOP2B	BRD-K43389675
pidorubicine	TOP2A	BRD-K04548931
idarubicin	TOP2A	BRD-K69650333
ER-27319	SYK	BRD-K11927976
mitoxantrone	TOP2A, PIM1	BRD-K21680192
BMS-345541	IKBKB, CHUK	BRD-K13566078
cyclopamine	SMO, DHH, IHH, PTCH1	BRD-A02333338
PHA-793887	CDK1, CDK2, CDK4, CDK5, CCND1, CCNE1, CDK7, CDK9	BRD-K64800655
JNJ-7706621	CDK1, CDK2, AURKA, AURKB	BRD-K11636097
triptolide	CYP2C19, RELA	BRD-A13122391
doxorubicin	TOP2A	BRD-K92093830
lestaurtinib	FLT3, NTRK1, JAK2, NTRK2, NTRK3	BRD-K23192422
staurosporine	CDK2, GSK3B, CAMK2B, CDK1, CDK5, CHEK1, CHRM1, CHRM2, CHRM4, CSK, DAPK1, GPR35, IKBKB, ITK, LCK, LRRK2, MAP2K4, MAP2K6, MAPKAPK2, PAK2, PDPK1, PHKG2, PIK3CG, PIM1, PKN1, PRKACB, PRKCI, PRKCQ, RPS6KA1, STK3, SYK, TNIK, ZAP70	BRD-K17953061
mocetinostat	HDAC1, HDAC2, HDAC3, HDAC11	BRD-K16485616
topotecan	TOP1, TOP1MT	BRD-A59985574
camptothecin	TOP1, HIF1A	BRD-A30437061
dorsomorphin	ACVR1, BMPR1A, BMPR1B, EPHA2, FKBP1A, FLT1, FLT3, KDR, LCK, MKNK1, PRKAA1, RPS6KA1, SRC	BRD-K54233340
aminopurvalanol-a	CDK1, CDK2, CDK5, CDK6	BRD-K07762753
linifanib	CSF1R, KDR, PDGFRB, FLT1, FLT3, FLT4, CSF1, KIT, PDGFRA, RET, TEK	BRD-K99749624
ochratoxin-a	SLC22A6	BRD-K39944607
AZ-628	BRAF, RAF1	BRD-K05804044
dehydrocholic-acid		BRD-K90976994
HG-5-113-01	ABL1, LTK, STK10	BRD-U82589721
tosufloxacin		BRD-A41450521
phloretin	AQP9, CLCN3, SLC23A1	BRD-K15563106
celastrol	IL1B, TNF	BRD-A80960055
AZD-7762	CHEK1, CHEK2	BRD-K46056750
chlordiazepoxide	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ	BRD-K86595100
tamibarotene	RARA, RARB	BRD-K36627727
mepacrine	TP53, AKT1, MTOR, NFKB1, PLA2G1B, PLA2G2A, PLA2G2D, PLA2G4A, PLA2G6, PLCL1	BRD-A45889380
chloramphenicol	CD55, CYP2C19	BRD-A51182606
LY-83583	GUCY1A2	BRD-K62792802
telenzepine	CHRM1	BRD-K06147391
ZM-306416	FLT1, KDR, EGFR, FLT4	BRD-K41337261
tenofovir		BRD-K15891719
mitomycin-c		BRD-A48237631
ditolylguanidine	GRIN1, GRIN2A, GRIN2B, SIGMAR1	BRD-K33459542
NCH-51	HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9	BRD-K52522949
hinokitiol	TYR	BRD-K37691127
PD-198306	MAP2K1, MAP2K2, MAPK1, MAPK3	BRD-K88677950
cilostazol	PDE3A, CYP2C19, CYP3A5, PDE3B	BRD-K67017579
vesamicol	SLC18A3	BRD-K14765469
SKF-86002	ALOX5, MAPK14	BRD-K96809896
