term	annotation	term_genes_found	input_size	term_genes	genes_universe	hyp_pval	hyp_pval_adj	genes
defense response to virus	GO:0051607	23	30	209	18944	5.26743e-40	1.0798199999999998e-37	IFIT5,IFITM3,IRF9,TRIM22,ISG15,IFITM1,STAT2,STAT1,OAS3,OAS2,OAS1,MX1,ISG20,IRF7,IFIT3,IFIT1,IFIT2,IFI27,GBP1,TRIM5,DHX58,IFIH1,DDX60
type I interferon signaling pathway	GO:0060337	17	30	67	18944	2.68645e-35	2.75361e-33	IFITM3,IRF9,ISG15,IFITM1,STAT2,STAT1,OAS3,OAS2,OAS1,MX1,ISG20,IRF7,IFIT3,IFIT1,IFIT2,IFI35,IFI27
immune system process	GO:0002376	22	30	531	18944	2.17908e-28	1.48904e-26	IFIT5,IFITM3,IRF9,ISG15,IFITM1,TAP1,OAS3,OAS2,OAS1,MX1,ISG20,IRF7,IFIT3,IFIT1,IFIT2,IFI27,GBP1,TRIM5,DHX58,IFIH1,DDX60,LAMP3
response to virus	GO:0009615	15	30	112	18944	2.05084e-26	1.05105e-24	IFITM3,TRIM22,IFITM1,OAS3,OAS2,OAS1,MX1,ISG20,IRF7,IFIT3,IFIT1,IFIT2,DHX58,IFIH1,DDX60
innate immune response	GO:0045087	19	30	604	18944	1.10274e-21	4.5212199999999996e-20	IFIT5,IFITM3,TRIM22,ISG15,IFITM1,OAS3,OAS2,OAS1,MX1,ISG20,IRF7,IFIT3,IFIT1,IFIT2,IFI27,TRIM5,DHX58,IFIH1,DDX60
negative regulation of viral genome replication	GO:0045071	10	30	41	18944	1.9978e-20	6.82582e-19	IFIT5,IFITM3,ISG15,IFITM1,OAS3,OAS2,OAS1,MX1,ISG20,IFIT1
interferon-gamma-mediated signaling pathway	GO:0060333	9	30	72	18944	1.32293e-15	3.87429e-14	IRF9,TRIM22,STAT1,OAS3,OAS2,OAS1,IRF7,GBP1,TRIM5
viral process	GO:0016032	11	30	579	18944	6.37766e-10	1.63428e-08	TRIM22,ISG15,TAP1,STAT2,STAT1,IRF7,IFIT1,IFI27,TRIM5,DHX58,IFIH1
regulation of ribonuclease activity	GO:0060700	3	30	4	18944	1.4319500000000001e-08	3.2616500000000004e-07	OAS3,OAS2,OAS1
response to interferon-beta	GO:0035456	3	30	10	18944	4.2683599999999997e-07	7.954660000000001e-06	IFITM3,IFITM1,STAT1
response to interferon-alpha	GO:0035455	3	30	10	18944	4.2683599999999997e-07	7.954660000000001e-06	IFITM3,IFITM1,LAMP3
cellular response to interferon-alpha	GO:0035457	3	30	13	18944	1.01403e-06	1.73231e-05	OAS1,IFIT3,IFIT2
defense response	GO:0006952	5	30	141	18944	2.6097500000000003e-06	4.11538e-05	SP140,TAP1,STAT2,STAT1,MX1
negative regulation of viral entry into host cell	GO:0046597	3	30	19	18944	3.41369e-06	4.99861e-05	IFITM3,IFITM1,TRIM5
positive regulation of interferon-alpha production	GO:0032727	3	30	23	18944	6.21242e-06	8.490309999999999e-05	STAT1,IRF7,IFIH1
MDA-5 signaling pathway	GO:0039530	2	30	3	18944	7.26594e-06	9.30949e-05	IRF7,IFIH1
positive regulation of MDA-5 signaling pathway	GO:1900245	2	30	4	18944	1.45176e-05	0.000175065	DHX58,DDX60
positive regulation of interferon-beta production	GO:0032728	3	30	33	18944	1.89354e-05	0.000204303	IRF7,DHX58,IFIH1
negative regulation of type I interferon production	GO:0032480	3	30	33	18944	1.89354e-05	0.000204303	ISG15,DHX58,IFIH1
response to type I interferon	GO:0034340	2	30	8	18944	6.7482e-05	0.000691691	ISG15,MX1
positive regulation of RIG-I signaling pathway	GO:1900246	2	30	10	18944	0.00010824	0.00105663	DHX58,DDX60
regulation of viral entry into host cell	GO:0046596	2	30	15	18944	0.000251318	0.00234183	TRIM22,TRIM5
