Id	Items	Support	List size	Reference Support	Reference size	Hyp	Hyp_c	Genes
0	GO:0007155	5	50	474	34208	0.000634223	0.000640735	APBA1,ROBO1,RELN,APP,APLP1
1	GO:0007155,GO:0007399	3	50	33	34208	1.55422e-05	1.74186e-05	APBA1,ROBO1,APLP1
2	GO:0007409	5	50	81	34208	1.27985e-07	1.86298e-07	APBB1,NOTCH1,CDK5,APP,PAX2
3	GO:0007409,GO:0045944	4	50	10	34208	8.42335e-10	4.10326e-09	APBB1,NOTCH1,APP,PAX2
4	GO:0007409,GO:0045944,GO:0045893	3	50	5	34208	2.93202e-08	5.20777e-08	APBB1,NOTCH1,PAX2
5	GO:0007409,GO:0045892	3	50	3	34208	2.93807e-09	7.689e-09	NOTCH1,CDK5,PAX2
6	GO:0016485	4	50	55	34208	1.30336e-06	1.62343e-06	PSEN2,GLI3,PTCH1,PSEN1
7	GO:0016485,GO:0045893,GO:0000122	3	50	3	34208	2.93807e-09	7.689e-09	GLI3,PTCH1,PSEN1
8	GO:0006357	8	50	1140	34208	0.000229794	0.000236031	APOE,ETS1,ERBB2,FOS,EGFR,KIT,MYC,BRCA1
9	GO:0006357,GO:0045944,GO:0045893	5	50	80	34208	1.20216e-07	1.76557e-07	ETS1,FOS,EGFR,MYC,BRCA1
10	GO:0006357,GO:0045944,GO:0045893,GO:0010628	3	50	24	34208	5.81934e-06	6.70518e-06	ETS1,MYC,BRCA1
11	GO:0006357,GO:0045944,GO:0045893,GO:0008284	3	50	9	34208	2.45276e-07	3.3244e-07	ETS1,EGFR,MYC
12	GO:0006357,GO:0045893	6	50	131	34208	3.88913e-08	6.6904e-08	APOE,ETS1,FOS,EGFR,MYC,BRCA1
13	GO:0006357,GO:0007165,GO:0000165,GO:0008284,GO:0018108,GO:0046854,GO:0051897,GO:0007169,GO:0046777,GO:0043406	3	50	3	34208	2.93807e-09	7.689e-09	ERBB2,EGFR,KIT
14	GO:0006357,GO:0000165,GO:0008284	4	50	4	34208	4.03711e-12	5.51738e-11	ERBB2,EGFR,KIT,MYC
15	GO:0006357,GO:0000165,GO:0008284,GO:0050679	3	50	3	34208	2.93807e-09	7.689e-09	ERBB2,EGFR,MYC
16	GO:0006357,GO:0010628	4	50	44	34208	5.24954e-07	6.76118e-07	ETS1,KIT,MYC,BRCA1
17	GO:0006357,GO:0010628,GO:0008284	3	50	6	34208	5.858e-08	9.26731e-08	ETS1,KIT,MYC
18	GO:0006357,GO:0008284	5	50	30	34208	7.52792e-10	3.89867e-09	ETS1,ERBB2,EGFR,KIT,MYC
19	GO:0006357,GO:0070374	3	50	14	34208	1.0574e-06	1.32041e-06	APOE,EGFR,KIT
20	GO:0006357,GO:0019221	3	50	27	34208	8.38391e-06	9.5705e-06	FOS,KIT,MYC
21	GO:0007507	7	50	182	34208	8.84984e-09	2.09333e-08	GLI2,SHH,NOTCH1,TGFB1,GLI3,ERBB2,SHC1
22	GO:0007507,GO:0045944,GO:0045893,GO:0045892,GO:0000122,GO:0008285	3	50	5	34208	2.93202e-08	5.20777e-08	NOTCH1,TGFB1,GLI3
23	GO:0007507,GO:0045944,GO:0045893,GO:0000122	5	50	19	34208	6.21709e-11	4.63456e-10	GLI2,SHH,NOTCH1,TGFB1,GLI3
24	GO:0007507,GO:0045944,GO:0045893,GO:0000122,GO:0008284	3	50	3	34208	2.93807e-09	7.689e-09	SHH,NOTCH1,TGFB1
25	GO:0007507,GO:0045944,GO:0045893,GO:0000122,GO:0043066,GO:0007224,GO:0030324,GO:0042475,GO:0007411,GO:0042733,GO:0007442	3	50	3	34208	2.93807e-09	7.689e-09	GLI2,SHH,GLI3
26	GO:0007507,GO:0045944,GO:0045893,GO:0000122,GO:0090090,GO:0030324,GO:0002052	3	50	3	34208	2.93807e-09	7.689e-09	SHH,NOTCH1,GLI3
27	GO:0007507,GO:0045944,GO:0045893,GO:0000122,GO:0030324	4	50	6	34208	6.04264e-11	4.57382e-10	GLI2,SHH,NOTCH1,GLI3
28	GO:0007507,GO:0045944,GO:0045893,GO:0000122,GO:0030324,GO:0001701	3	50	4	34208	1.17402e-08	2.42696e-08	GLI2,NOTCH1,GLI3
29	GO:0007507,GO:0045944,GO:0045893,GO:0000122,GO:0030324,GO:0048754	3	50	3	34208	2.93807e-09	7.689e-09	GLI2,SHH,NOTCH1
30	GO:0007507,GO:0045944,GO:0045893,GO:0000122,GO:0042307	3	50	3	34208	2.93807e-09	7.689e-09	SHH,TGFB1,GLI3
31	GO:0007507,GO:0045893	6	50	36	34208	1.34607e-11	1.40908e-10	GLI2,SHH,NOTCH1,TGFB1,GLI3,SHC1
32	GO:0007507,GO:0045893,GO:0045892	4	50	16	34208	7.25325e-09	1.74078e-08	NOTCH1,TGFB1,GLI3,SHC1
33	GO:0007507,GO:0045893,GO:0045892,GO:0008284,GO:0070374	3	50	4	34208	1.17402e-08	2.42696e-08	NOTCH1,TGFB1,SHC1
34	GO:0007507,GO:0045893,GO:0008284	4	50	11	34208	1.32225e-09	6.25524e-09	SHH,NOTCH1,TGFB1,SHC1
35	GO:0007507,GO:0045893,GO:0043066,GO:0007411	4	50	4	34208	4.03711e-12	5.51738e-11	GLI2,SHH,GLI3,SHC1
36	GO:0007507,GO:0000165,GO:0008284	3	50	6	34208	5.858e-08	9.26731e-08	TGFB1,ERBB2,SHC1
37	GO:0007507,GO:0008284	5	50	24	34208	2.26011e-10	1.44412e-09	SHH,NOTCH1,TGFB1,ERBB2,SHC1
38	GO:0007507,GO:0008284,GO:0050679	3	50	5	34208	2.93202e-08	5.20777e-08	NOTCH1,TGFB1,ERBB2
39	GO:0007507,GO:0048709	3	50	4	34208	1.17402e-08	2.42696e-08	NOTCH1,GLI3,ERBB2
40	GO:0033138,GO:0045944,GO:0001934,GO:0070374	3	50	12	34208	6.40406e-07	8.16269e-07	TGFB1,EGFR,APP
41	GO:0006954,GO:0019221	3	50	68	34208	0.000137713	0.000143853	TGFB1,FOS,KIT
42	GO:0006915	4	50	573	34208	0.00976516	0.00978505	APBB1,PAX3,APLP1,BRCA1
43	GO:0006915,GO:0045944,GO:0045893	3	50	17	34208	1.96926e-06	2.34029e-06	APBB1,PAX3,BRCA1
44	GO:0007050	6	50	136	34208	4.86342e-08	8.2796e-08	APBB1,NOTCH1,TGFB1,ABL1,TP53,MYC
45	GO:0007050,GO:0045944,GO:0006355,GO:0045893,GO:0000122	3	50	6	34208	5.858e-08	9.26731e-08	APBB1,NOTCH1,TP53
46	GO:0007050,GO:0045944,GO:0045893,GO:0045892,GO:0000122,GO:0010628,GO:0008285	3	50	3	34208	2.93807e-09	7.689e-09	NOTCH1,TGFB1,TP53
47	GO:0007050,GO:0045944,GO:0045893,GO:0000122	5	50	9	34208	6.81109e-13	1.28887e-11	APBB1,NOTCH1,TGFB1,TP53,MYC
48	GO:0007050,GO:0045944,GO:0045893,GO:0000122,GO:0010628	4	50	5	34208	2.01638e-11	1.68146e-10	NOTCH1,TGFB1,TP53,MYC
49	GO:0007050,GO:0045944,GO:0045893,GO:0000122,GO:0010628,GO:0008284,GO:0007219,GO:0050679	3	50	3	34208	2.93807e-09	7.689e-09	NOTCH1,TGFB1,MYC
